 # k       S(k)       S(k)_form^2       S(k)_Lorch          S(k)_Lorch_form^2
      14.600  1.3912036E+00  1.3390978E+00  1.2064480E+00  1.1612619E+00
      14.800  1.3803822E+00  1.3282610E+00  1.1994507E+00  1.1541612E+00
      15.000  1.3458198E+00  1.2945880E+00  1.1771378E+00  1.1323273E+00
      15.200  1.2900366E+00  1.2405247E+00  1.1405437E+00  1.0967695E+00
      15.400  1.2164712E+00  1.1693974E+00  1.0911109E+00  1.0488882E+00
      15.600  1.1291392E+00  1.0850828E+00  1.0306036E+00  9.9039176E-01
      15.800  1.0322667E+00  9.9165488E-01  9.6100873E-01  9.2320033E-01
      16.000  9.2993669E-01  8.9304526E-01  8.8442625E-01  8.4934025E-01
      16.200  8.2580011E-01  7.9276547E-01  8.0296696E-01  7.7084572E-01
      16.400  7.2286465E-01  6.9370487E-01  7.1865420E-01  6.8966426E-01
      16.600  6.2338746E-01  5.9802876E-01  6.3334475E-01  6.0758100E-01
      16.800  5.2886654E-01  5.0717130E-01  5.4866994E-01  5.2616233E-01
      17.000  4.4011204E-01  4.2190507E-01  4.6599436E-01  4.4671667E-01
      17.200  3.5738618E-01  3.4247631E-01  3.8640297E-01  3.7028254E-01
      17.400  2.8056866E-01  2.6876433E-01  3.1070188E-01  2.9762975E-01
      17.600  2.0933000E-01  2.0044815E-01  2.3943989E-01  2.2928049E-01
      17.800  1.4328209E-01  1.3715103E-01  1.7294176E-01  1.6554156E-01
      18.000  8.2085343E-02  7.8543068E-02  1.1134494E-01  1.0654001E-01
      18.200  2.5511940E-02  2.4401658E-02  5.4643950E-02  5.2265841E-02
      18.400 -2.6544364E-02 -2.5379342E-02  2.7276759E-03  2.6079592E-03
      18.600 -7.4093393E-02 -7.0813865E-02 -4.4583261E-02 -4.2609913E-02
      18.800 -1.1710344E-01 -1.1187625E-01 -8.7510102E-02 -8.3603879E-02
      19.000 -1.5556250E-01 -1.4855978E-01 -1.2629421E-01 -1.2060902E-01
      19.200 -1.8953334E-01 -1.8092925E-01 -1.6118285E-01 -1.5386576E-01
      19.400 -2.1919174E-01 -2.0915726E-01 -1.9242280E-01 -1.8361378E-01
      19.600 -2.4483656E-01 -2.3353361E-01 -2.2025571E-01 -2.1008754E-01
      19.800 -2.6687593E-01 -2.5445193E-01 -2.4491869E-01 -2.3351688E-01
      20.000 -2.8579001E-01 -2.7237391E-01 -2.6664443E-01 -2.5412709E-01
      20.200 -3.0208081E-01 -2.8778134E-01 -2.8566149E-01 -2.7213926E-01
      20.400 -3.1621994E-01 -3.0112635E-01 -3.0219471E-01 -2.8777056E-01
      20.600 -3.2860261E-01 -3.1278762E-01 -3.1646298E-01 -3.0123225E-01
      20.800 -3.3951825E-01 -3.2304259E-01 -3.2867743E-01 -3.1272783E-01
      21.000 -3.4914035E-01 -3.3205798E-01 -3.3903806E-01 -3.2244997E-01
      21.200 -3.5753686E-01 -3.3989993E-01 -3.4773069E-01 -3.3057750E-01
      21.400 -3.6469785E-01 -3.4656049E-01 -3.5492486E-01 -3.3727354E-01
      21.600 -3.7057294E-01 -3.5199331E-01 -3.6077212E-01 -3.4268389E-01
      21.800 -3.7511183E-01 -3.5615221E-01 -3.6540624E-01 -3.4693718E-01
      22.000 -3.7829913E-01 -3.5902423E-01 -3.6894419E-01 -3.5014594E-01
      22.200 -3.8017773E-01 -3.6065175E-01 -3.7148830E-01 -3.5240861E-01
      22.400 -3.8085730E-01 -3.6114040E-01 -3.7312910E-01 -3.5381228E-01
      22.600 -3.8050704E-01 -3.6065206E-01 -3.7394811E-01 -3.5443538E-01
      22.800 -3.7933574E-01 -3.5938588E-01 -3.7402048E-01 -3.5435016E-01
      23.000 -3.7756375E-01 -3.5755156E-01 -3.7341685E-01 -3.5362446E-01
      23.200 -3.7539303E-01 -3.5534108E-01 -3.7220444E-01 -3.5232281E-01
      23.400 -3.7298133E-01 -3.5290424E-01 -3.7044724E-01 -3.5050656E-01
      23.600 -3.7042538E-01 -3.5033286E-01 -3.6820561E-01 -3.4823350E-01
      23.800 -3.6775576E-01 -3.4765608E-01 -3.6553533E-01 -3.4555701E-01
      24.000 -3.6494393E-01 -3.4484713E-01 -3.6248670E-01 -3.4252521E-01
