 # k       S(k)       S(k)_form^2       S(k)_Lorch          S(k)_Lorch_form^2
       0.200 -3.0995226E+00 -3.0165741E+00 -7.8964434E-01 -7.6851212E-01
       0.400 -2.2492813E+00 -2.1890742E+00 -8.1344920E-01 -7.9167538E-01
       0.600 -1.2511670E+00 -1.2176650E+00 -8.5177814E-01 -8.2897044E-01
       0.800 -5.1288416E-01 -4.9914420E-01 -8.9396517E-01 -8.7001620E-01
       1.000 -2.8108508E-01 -2.7355022E-01 -9.1486826E-01 -8.9034399E-01
       1.200 -5.2776377E-01 -5.1360555E-01 -8.7684865E-01 -8.5332559E-01
       1.400 -9.7707758E-01 -9.5084204E-01 -7.4100903E-01 -7.2111217E-01
       1.600 -1.2544918E+00 -1.2207723E+00 -4.8433789E-01 -4.7131938E-01
       1.800 -1.0789062E+00 -1.0498720E+00 -1.1531423E-01 -1.1221104E-01
       2.000 -4.0037107E-01 -3.8958260E-01  3.2002725E-01  3.1140374E-01
       2.200  5.8153015E-01  5.6583731E-01  7.4604411E-01  7.2591180E-01
       2.400  1.5200896E+00  1.4790039E+00  1.0778836E+00  1.0487501E+00
       2.600  2.0862874E+00  2.0298006E+00  1.2470992E+00  1.2133337E+00
       2.800  2.1118184E+00  2.0545335E+00  1.2226979E+00  1.1895311E+00
       3.000  1.6447829E+00  1.6000771E+00  1.0195949E+00  9.9188199E-01
       3.200  9.0198937E-01  8.7742042E-01  6.9167854E-01  6.7283817E-01
       3.400  1.5379558E-01  1.4959684E-01  3.1290139E-01  3.0435894E-01
       3.600 -3.9489549E-01 -3.8408848E-01 -4.5777084E-02 -4.4524314E-02
       3.800 -6.7161571E-01 -6.5318883E-01 -3.3497220E-01 -3.2578169E-01
       4.000 -7.2992445E-01 -7.0984392E-01 -5.3516705E-01 -5.2044438E-01
       4.200 -6.8794724E-01 -6.6896807E-01 -6.5371639E-01 -6.3568159E-01
       4.400 -6.5376744E-01 -6.3567786E-01 -7.1404520E-01 -6.9428775E-01
       4.600 -6.7738592E-01 -6.5858484E-01 -7.4280812E-01 -7.2219123E-01
       4.800 -7.4660984E-01 -7.2582056E-01 -7.6024708E-01 -7.3907808E-01
       5.000 -8.1727359E-01 -7.9444022E-01 -7.7639504E-01 -7.5470376E-01
       5.200 -8.5206729E-01 -8.2817870E-01 -7.9267744E-01 -7.7045391E-01
       5.400 -8.4371348E-01 -8.1997336E-01 -8.0634231E-01 -7.8365373E-01
       5.600 -8.1299830E-01 -7.9003653E-01 -8.1473410E-01 -7.9172330E-01
       5.800 -7.8916248E-01 -7.6678730E-01 -8.1748586E-01 -7.9430763E-01
       6.000 -7.8907792E-01 -7.6661531E-01 -8.1635217E-01 -7.9311315E-01
       6.200 -8.0878825E-01 -7.8566914E-01 -8.1369050E-01 -7.9043127E-01
       6.400 -8.3038290E-01 -8.0654512E-01 -8.1097192E-01 -7.8769137E-01
       6.600 -8.3678252E-01 -8.1265536E-01 -8.0822934E-01 -7.8492547E-01
       6.800 -8.2326911E-01 -7.9942420E-01 -8.0451956E-01 -7.8121770E-01
       7.000 -7.9869642E-01 -7.7545568E-01 -7.9884057E-01 -7.7559562E-01
       7.200 -7.7729530E-01 -7.5456933E-01 -7.9081625E-01 -7.6769497E-01
       7.400 -7.6807654E-01 -7.4551018E-01 -7.8078023E-01 -7.5784063E-01
       7.600 -7.6934555E-01 -7.4662851E-01 -7.6935584E-01 -7.4663850E-01
       7.800 -7.7130252E-01 -7.4841072E-01 -7.5692584E-01 -7.3446072E-01
       8.000 -7.6383006E-01 -7.4104089E-01 -7.4336843E-01 -7.2118975E-01
       8.200 -7.4346286E-01 -7.2116219E-01 -7.2818222E-01 -7.0633990E-01
       8.400 -7.1488667E-01 -6.9332547E-01 -7.1084470E-01 -6.8940540E-01
       8.600 -6.8663760E-01 -6.6581237E-01 -6.9112462E-01 -6.7016330E-01
       8.800 -6.6467065E-01 -6.4439643E-01 -6.6914528E-01 -6.4873458E-01
       9.000 -6.4848056E-01 -6.2858493E-01 -6.4519303E-01 -6.2539827E-01
       9.200 -6.3215037E-01 -6.1264062E-01 -6.1943095E-01 -6.0031375E-01
       9.400 -6.0902843E-01 -5.9011867E-01 -5.9171019E-01 -5.7333815E-01
       9.600 -5.7636912E-01 -5.5836333E-01 -5.6157970E-01 -5.4403593E-01
       9.800 -5.3669218E-01 -5.1982104E-01 -5.2845411E-01 -5.1184193E-01
      10.000 -4.9524040E-01 -4.7957333E-01 -4.9180622E-01 -4.7624780E-01
      10.200 -4.5571278E-01 -4.4120309E-01 -4.5126273E-01 -4.3689473E-01
      10.400 -4.1746024E-01 -4.0408135E-01 -4.0656841E-01 -3.9353858E-01
      10.600 -3.7600913E-01 -3.6387851E-01 -3.5746953E-01 -3.4593703E-01
      10.800 -3.2627190E-01 -3.1567486E-01 -3.0361056E-01 -2.9374954E-01
      11.000 -2.6595259E-01 -2.5725559E-01 -2.4450997E-01 -2.3651417E-01
      11.200 -1.9669934E-01 -1.9022245E-01 -1.7960876E-01 -1.7369463E-01
      11.400 -1.2234004E-01 -1.1828338E-01 -1.0835308E-01 -1.0476021E-01
      11.600 -4.5642718E-02 -4.4118504E-02 -3.0256991E-02 -2.9246575E-02
      11.800  3.3989285E-02  3.2846075E-02  5.5061929E-02  5.3209953E-02
      12.000  1.2026899E-01  1.1619442E-01  1.4783969E-01  1.4283105E-01
      12.200  2.1748966E-01  2.1006724E-01  2.4808271E-01  2.3961622E-01
      12.400  3.2753087E-01  3.1627003E-01  3.5542974E-01  3.4320971E-01
      12.600  4.4843441E-01  4.3290123E-01  4.6898460E-01  4.5273959E-01
      12.800  5.7537079E-01  5.5528991E-01  5.8718806E-01  5.6669475E-01
      13.000  7.0310343E-01  6.7837723E-01  7.0777204E-01  6.8288165E-01
      13.200  8.2810237E-01  7.9875603E-01  8.2781073E-01  7.9847472E-01
      13.400  9.4886621E-01  9.1497913E-01  9.4385637E-01  9.1014821E-01
      13.600  1.0643791E+00  1.0260692E+00  1.0521146E+00  1.0142461E+00
      13.800  1.1719998E+00  1.1294838E+00  1.1486474E+00  1.1069785E+00
      14.000  1.2664500E+00  1.2201429E+00  1.2296171E+00  1.1846568E+00
      14.200  1.3407416E+00  1.2913262E+00  1.2915755E+00  1.2439722E+00
      14.400  1.3885471E+00  1.3369581E+00  1.3318101E+00  1.2823291E+00
      14.600  1.4065411E+00  1.3538607E+00  1.3486865E+00  1.2981731E+00
      14.800  1.3953445E+00  1.3426583E+00  1.3419096E+00  1.2912411E+00
      15.000  1.3586778E+00  1.3069566E+00  1.3126090E+00  1.2626415E+00
      15.200  1.3014756E+00  1.2515248E+00  1.2631992E+00  1.2147174E+00
      15.400  1.2282337E+00  1.1807048E+00  1.1970334E+00  1.1507118E+00
      15.600  1.1424731E+00  1.0978963E+00  1.1179375E+00  1.0743181E+00
      15.800  1.0472691E+00  1.0060670E+00  1.0297451E+00  9.8923242E-01
      16.000  9.4603262E-01  9.0850264E-01  9.3593127E-01  8.9880202E-01
      16.200  8.4268373E-01  8.0897369E-01  8.3941182E-01  8.0583266E-01
      16.400  7.4094845E-01  7.1105919E-01  7.4248970E-01  7.1253826E-01
      16.600  6.4330483E-01  6.1713592E-01  6.4691410E-01  6.2059837E-01
      16.800  5.5042052E-01  5.2784110E-01  5.5398814E-01  5.3126237E-01
      17.000  4.6158132E-01  4.4248619E-01  4.6467364E-01  4.4545059E-01
      17.200  3.7588562E-01  3.6020396E-01  3.7968113E-01  3.6384113E-01
      17.400  2.9338265E-01  2.8103919E-01  2.9952672E-01  2.8692477E-01
