 # k       S(k)       S(k)_form^2       S(k)_Lorch          S(k)_Lorch_form^2
      14.600  1.4255322E+00  1.3721406E+00  1.2798901E+00  1.2319534E+00
      14.800  1.4185192E+00  1.3649580E+00  1.2764948E+00  1.2282962E+00
      15.000  1.3815271E+00  1.3289360E+00  1.2544116E+00  1.2066595E+00
      15.200  1.3191770E+00  1.2685468E+00  1.2149985E+00  1.1683666E+00
      15.400  1.2378860E+00  1.1899835E+00  1.1602341E+00  1.1153365E+00
      15.600  1.1446195E+00  1.0999590E+00  1.0925580E+00  1.0499288E+00
      15.800  1.0456712E+00  1.0045319E+00  1.0146829E+00  9.7476284E-01
      16.000  9.4575005E-01  9.0823128E-01  9.2939895E-01  8.9252885E-01
      16.200  8.4757634E-01  8.1367058E-01  8.3939863E-01  8.0582000E-01
      16.400  7.5201427E-01  7.2167862E-01  7.4713106E-01  7.1699239E-01
      16.600  6.5865254E-01  6.3185930E-01  6.5470585E-01  6.2807316E-01
      16.800  5.6661518E-01  5.4337142E-01  5.6384673E-01  5.4071653E-01
      17.000  4.7534369E-01  4.5567923E-01  4.7588566E-01  4.5619877E-01
      17.200  3.8513647E-01  3.6906888E-01  3.9179896E-01  3.7545342E-01
      17.400  2.9729742E-01  2.8478926E-01  3.1225808E-01  2.9912048E-01
      17.600  2.1389331E-01  2.0481784E-01  2.3769241E-01  2.2760715E-01
      17.800  1.3722069E-01  1.3134900E-01  1.6834779E-01  1.6114417E-01
      18.000  6.9164087E-02  6.6179410E-02  1.0432989E-01  9.9827682E-02
      18.200  1.0661570E-02  1.0197577E-02  4.5638945E-02  4.3652735E-02
      18.400 -3.8568365E-02 -3.6875614E-02 -7.8132432E-03 -7.4703229E-03
      18.600 -7.9949812E-02 -7.6411066E-02 -5.6189436E-02 -5.3702375E-02
      18.800 -1.1565997E-01 -1.1049721E-01 -9.9720029E-02 -9.5268787E-02
      19.000 -1.4804208E-01 -1.4137790E-01 -1.3869151E-01 -1.3244824E-01
      19.200 -1.7899955E-01 -1.7087365E-01 -1.7343116E-01 -1.6555804E-01
      19.400 -2.0954745E-01 -1.9995448E-01 -2.0428952E-01 -1.9493725E-01
      19.600 -2.3964138E-01 -2.2857827E-01 -2.3161830E-01 -2.2092558E-01
      19.800 -2.6832571E-01 -2.5583422E-01 -2.5575245E-01 -2.4384629E-01
      20.000 -2.9414069E-01 -2.8033257E-01 -2.7699550E-01 -2.6399224E-01
      20.200 -3.1565944E-01 -3.0071721E-01 -2.9561247E-01 -2.8161919E-01
      20.400 -3.3199182E-01 -3.1614542E-01 -3.1183126E-01 -2.9694715E-01
      20.600 -3.4310462E-01 -3.2659168E-01 -3.2584887E-01 -3.1016641E-01
      20.800 -3.4987230E-01 -3.3289419E-01 -3.3784214E-01 -3.2144781E-01
      21.000 -3.5385011E-01 -3.3653730E-01 -3.4797771E-01 -3.3095222E-01
      21.200 -3.5684704E-01 -3.3924414E-01 -3.5641909E-01 -3.3883730E-01
      21.400 -3.6043134E-01 -3.4250617E-01 -3.6332953E-01 -3.4526022E-01
      21.600 -3.6551707E-01 -3.4719094E-01 -3.6886935E-01 -3.5037514E-01
      21.800 -3.7215244E-01 -3.5334240E-01 -3.7319050E-01 -3.5432799E-01
      22.000 -3.7956664E-01 -3.6022716E-01 -3.7642956E-01 -3.5724992E-01
      22.200 -3.8645435E-01 -3.6660600E-01 -3.7870228E-01 -3.5925208E-01
      22.400 -3.9140761E-01 -3.7114452E-01 -3.8010160E-01 -3.6042382E-01
      22.600 -3.9336295E-01 -3.7283715E-01 -3.8069966E-01 -3.6083464E-01
      22.800 -3.9193217E-01 -3.7131984E-01 -3.8055370E-01 -3.6053978E-01
      23.000 -3.8752192E-01 -3.6698191E-01 -3.7971384E-01 -3.5958769E-01
      23.200 -3.8121319E-01 -3.6085035E-01 -3.7823095E-01 -3.5802741E-01
      23.400 -3.7444280E-01 -3.5428704E-01 -3.7616217E-01 -3.5591385E-01
      23.600 -3.6858702E-01 -3.4859422E-01 -3.7357295E-01 -3.5330970E-01
      23.800 -3.6457270E-01 -3.4464699E-01 -3.7053503E-01 -3.5028345E-01
      24.000 -3.6263095E-01 -3.4266152E-01 -3.6712136E-01 -3.4690465E-01
      24.200 -3.6226219E-01 -3.4216341E-01 -3.6339954E-01 -3.4323765E-01
      24.400 -3.6241736E-01 -3.4216032E-01 -3.5942562E-01 -3.3933580E-01
      24.600 -3.6183620E-01 -3.4146236E-01 -3.5524035E-01 -3.3523790E-01
      24.800 -3.5943814E-01 -3.3905122E-01 -3.5086847E-01 -3.3096760E-01
      25.000 -3.5464843E-01 -3.3438724E-01 -3.4632157E-01 -3.2653610E-01
      25.200 -3.4756455E-01 -3.2756530E-01 -3.4160346E-01 -3.2194722E-01
      25.400 -3.3891716E-01 -3.1927656E-01 -3.3671630E-01 -3.1720324E-01
      25.600 -3.2984286E-01 -3.1059324E-01 -3.3166648E-01 -3.1231044E-01
      25.800 -3.2154015E-01 -3.0264394E-01 -3.2646814E-01 -3.0728233E-01
      26.000 -3.1491497E-01 -2.9628007E-01 -3.2114425E-01 -3.0214073E-01
      26.200 -3.1032085E-01 -2.9183204E-01 -3.1572473E-01 -2.9691397E-01
      26.400 -3.0747001E-01 -2.8902691E-01 -3.1024293E-01 -2.9163351E-01
      26.600 -3.0553820E-01 -2.8708811E-01 -3.0473134E-01 -2.8632997E-01
      26.800 -3.0342787E-01 -2.8498370E-01 -2.9921759E-01 -2.8102936E-01
      27.000 -3.0010837E-01 -2.8174637E-01 -2.9372219E-01 -2.7575093E-01
      27.200 -2.9492973E-01 -2.7676762E-01 -2.8825763E-01 -2.7050639E-01
      27.400 -2.8781665E-01 -2.6997902E-01 -2.8282923E-01 -2.6530071E-01
      27.600 -2.7928672E-01 -2.6186819E-01 -2.7743686E-01 -2.6013370E-01
      27.800 -2.7028957E-01 -2.5332678E-01 -2.7207637E-01 -2.5500145E-01
      28.000 -2.6191817E-01 -2.4537928E-01 -2.6674085E-01 -2.4989743E-01
      28.200 -2.5507910E-01 -2.3887390E-01 -2.6142052E-01 -2.4481244E-01
      28.400 -2.5022133E-01 -2.3422912E-01 -2.5610213E-01 -2.3973407E-01
      28.600 -2.4720273E-01 -2.3130969E-01 -2.5076818E-01 -2.3464591E-01
      28.800 -2.4533242E-01 -2.2946729E-01 -2.4539630E-01 -2.2952705E-01
      29.000 -2.4357437E-01 -2.2773202E-01 -2.3996023E-01 -2.2435295E-01
      29.200 -2.4085008E-01 -2.2509579E-01 -2.3443161E-01 -2.1909715E-01
      29.400 -2.3635002E-01 -2.2080340E-01 -2.2878321E-01 -2.1373432E-01
      29.600 -2.2976234E-01 -2.1456556E-01 -2.2299262E-01 -2.0824359E-01
      29.800 -2.2135270E-01 -2.0663250E-01 -2.1704500E-01 -2.0261126E-01
      30.000 -2.1187487E-01 -1.9770949E-01 -2.1093498E-01 -1.9683244E-01
      30.200 -2.0234014E-01 -1.8874093E-01 -2.0466601E-01 -1.9091048E-01
      30.400 -1.9371636E-01 -1.8062923E-01 -1.9824797E-01 -1.8485470E-01
      30.600 -1.8664548E-01 -1.7397175E-01 -1.9169316E-01 -1.7867667E-01
