 # k       S(k)       S(k)_form^2       S(k)_Lorch          S(k)_Lorch_form^2
       0.200  2.0837789E+00  2.0280135E+00 -8.6945704E-01 -8.4618889E-01
       0.400  1.4402732E+00  1.4017210E+00 -9.0992564E-01 -8.8556941E-01
       0.600  5.3414278E-01  5.1984026E-01 -9.5053073E-01 -9.2507878E-01
       0.800 -4.2777359E-01 -4.1631371E-01 -9.5898046E-01 -9.3328977E-01
       1.000 -1.2300517E+00 -1.1970785E+00 -9.0383625E-01 -8.7960771E-01
       1.200 -1.6995311E+00 -1.6539381E+00 -7.6380758E-01 -7.4331705E-01
       1.400 -1.7444911E+00 -1.6976497E+00 -5.3467684E-01 -5.2032022E-01
       1.600 -1.3727633E+00 -1.3358648E+00 -2.3206307E-01 -2.2582545E-01
       1.800 -6.8507669E-01 -6.6664079E-01  1.1066988E-01  1.0769167E-01
       2.000  1.5358331E-01  1.4944483E-01  4.4880452E-01  4.3671095E-01
       2.200  9.5630561E-01  9.3049930E-01  7.3533619E-01  7.1549283E-01
       2.400  1.5588834E+00  1.5167492E+00  9.3047897E-01  9.0532956E-01
       2.600  1.8554292E+00  1.8051930E+00  1.0093610E+00  9.8203231E-01
       2.800  1.8167430E+00  1.7674622E+00  9.6621597E-01  9.4000649E-01
       3.000  1.4882957E+00  1.4478433E+00  8.1432602E-01  7.9219236E-01
       3.200  9.7028766E-01  9.4385836E-01  5.8204393E-01  5.6618985E-01
       3.400  3.8674953E-01  3.7619097E-01  3.0612561E-01  2.9776814E-01
       3.600 -1.4710227E-01 -1.4307656E-01  2.4125967E-02  2.3465718E-02
       3.800 -5.5054230E-01 -5.3543727E-01 -2.3235522E-01 -2.2598017E-01
       4.000 -7.9020592E-01 -7.6846703E-01 -4.4220305E-01 -4.3003786E-01
       4.200 -8.7854121E-01 -8.5430392E-01 -5.9642359E-01 -5.7996939E-01
       4.400 -8.6046109E-01 -8.3665235E-01 -6.9699877E-01 -6.7771299E-01
       4.600 -7.9380107E-01 -7.7176885E-01 -7.5371734E-01 -7.3279766E-01
       4.800 -7.3017157E-01 -7.0984002E-01 -7.8009708E-01 -7.5837535E-01
       5.000 -7.0169081E-01 -6.8208665E-01 -7.8953076E-01 -7.6747248E-01
       5.200 -7.1646664E-01 -6.9637975E-01 -7.9251186E-01 -7.7029297E-01
       5.400 -7.6255379E-01 -7.4109732E-01 -7.9534694E-01 -7.7296775E-01
       5.600 -8.1749826E-01 -7.9440939E-01 -8.0029051E-01 -7.7768765E-01
       5.800 -8.5927600E-01 -8.3491289E-01 -8.0667940E-01 -7.8380757E-01
       6.000 -8.7467663E-01 -8.4977729E-01 -8.1247550E-01 -7.8934684E-01
       6.200 -8.6272150E-01 -8.3806071E-01 -8.1566053E-01 -7.9234498E-01
       6.400 -8.3282342E-01 -8.0891558E-01 -8.1511361E-01 -7.9171417E-01
       6.600 -7.9930353E-01 -7.7625701E-01 -8.1085510E-01 -7.8747552E-01
       6.800 -7.7493874E-01 -7.5249365E-01 -8.0376911E-01 -7.8048899E-01
       7.000 -7.6614660E-01 -7.4385300E-01 -7.9505593E-01 -7.7192112E-01
       7.200 -7.7140996E-01 -7.4885607E-01 -7.8569005E-01 -7.6271865E-01
       7.400 -7.8307544E-01 -7.6006840E-01 -7.7608727E-01 -7.5328555E-01
       7.600 -7.9133936E-01 -7.6797289E-01 -7.6605770E-01 -7.4343775E-01
       7.800 -7.8854296E-01 -7.6513946E-01 -7.5499873E-01 -7.3259081E-01
       8.000 -7.7201846E-01 -7.4898499E-01 -7.4220240E-01 -7.2005851E-01
       8.200 -7.4452525E-01 -7.2219271E-01 -7.2713369E-01 -7.0532282E-01
       8.400 -7.1239377E-01 -6.9090775E-01 -7.0957719E-01 -6.8817613E-01
       8.600 -6.8240975E-01 -6.6171275E-01 -6.8962077E-01 -6.6870506E-01
       8.800 -6.5886136E-01 -6.3876435E-01 -6.6751180E-01 -6.4715093E-01
       9.000 -6.4195238E-01 -6.2225703E-01 -6.4346567E-01 -6.2372390E-01
       9.200 -6.2809375E-01 -6.0870920E-01 -6.1751116E-01 -5.9845321E-01
       9.400 -6.1175250E-01 -5.9275816E-01 -5.8942549E-01 -5.7112438E-01
       9.600 -5.8792323E-01 -5.6955649E-01 -5.5876950E-01 -5.4131353E-01
       9.800 -5.5411700E-01 -5.3669810E-01 -5.2499325E-01 -5.0848986E-01
      10.000 -5.1106826E-01 -4.9490049E-01 -4.8755631E-01 -4.7213234E-01
      10.200 -4.6197655E-01 -4.4726742E-01 -4.4601339E-01 -4.3181252E-01
      10.400 -4.1074182E-01 -3.9757824E-01 -4.0003885E-01 -3.8721829E-01
      10.600 -3.6003706E-01 -3.4842172E-01 -3.4938879E-01 -3.3811698E-01
      10.800 -3.1006655E-01 -2.9999585E-01 -2.9382806E-01 -2.8428477E-01
      11.000 -2.5849606E-01 -2.5004291E-01 -2.3306279E-01 -2.2544134E-01
      11.200 -2.0148959E-01 -1.9485497E-01 -1.6670388E-01 -1.6121468E-01
      11.400 -1.3532498E-01 -1.3083775E-01 -9.4286373E-02 -9.1159936E-02
      11.600 -5.7838065E-02 -5.5906594E-02 -1.5335472E-02 -1.4823352E-02
      11.800  3.0915959E-02  2.9876118E-02  7.0534079E-02  6.8161705E-02
      12.000  1.2899976E-01  1.2462940E-01  1.6350117E-01  1.5796194E-01
      12.200  2.3369015E-01  2.2571484E-01  2.6342760E-01  2.5443743E-01
      12.400  3.4275328E-01  3.3096909E-01  3.6976011E-01  3.5704739E-01
      12.600  4.5525936E-01  4.3948978E-01  4.8144378E-01  4.6476720E-01
      12.800  5.7154574E-01  5.5159836E-01  5.9686107E-01  5.7603016E-01
      13.000  6.9232672E-01  6.6797951E-01  7.1379906E-01  6.8869672E-01
      13.200  8.1735228E-01  7.8838690E-01  8.2946136E-01  8.0006686E-01
      13.400  9.4423946E-01  9.1051762E-01  9.4055258E-01  9.0696241E-01
      13.600  1.0680216E+00  1.0295806E+00  1.0434388E+00  1.0058826E+00
      13.800  1.1816786E+00  1.1388114E+00  1.1343904E+00  1.0932387E+00
      14.000  1.2775080E+00  1.2307966E+00  1.2098907E+00  1.1656517E+00
      14.200  1.3488409E+00  1.2991270E+00  1.2669601E+00  1.2202641E+00
      14.400  1.3915052E+00  1.3398064E+00  1.3034541E+00  1.2550266E+00
      14.600  1.4045326E+00  1.3519275E+00  1.3182744E+00  1.2689000E+00
      14.800  1.3899351E+00  1.3374532E+00  1.3114590E+00  1.2619402E+00
      15.000  1.3517277E+00  1.3002710E+00  1.2841367E+00  1.2352531E+00
      15.200  1.2946384E+00  1.2449499E+00  1.2383585E+00  1.1908301E+00
      15.400  1.2230045E+00  1.1756779E+00  1.1768420E+00  1.1313017E+00
      15.600  1.1402138E+00  1.0957252E+00  1.1026800E+00  1.0596559E+00
      15.800  1.0487679E+00  1.0075068E+00  1.0190626E+00  9.7897026E-01
      16.000  9.5076674E-01  9.1304896E-01  9.2904512E-01  8.9218905E-01
      16.200  8.4846998E-01  8.1452847E-01  8.3539034E-01  8.0197206E-01
      16.400  7.4458640E-01  7.1455038E-01  7.4047607E-01  7.1060587E-01
      16.600  6.4213873E-01  6.1601726E-01  6.4626484E-01  6.1997552E-01
      16.800  5.4396736E-01  5.2165266E-01  5.5431456E-01  5.3157539E-01
      17.000  4.5212071E-01  4.3341695E-01  4.6580754E-01  4.4653758E-01
      17.200  3.6745048E-01  3.5212074E-01  3.8159740E-01  3.6567745E-01
      17.400  2.8960711E-01  2.7742250E-01  3.0225334E-01  2.8953667E-01
      17.600  2.1746410E-01  2.0823713E-01  2.2811109E-01  2.1843236E-01
      17.800  1.4978603E-01  1.4337666E-01  1.5932376E-01  1.5250627E-01
      18.000  8.5848003E-02  8.2143356E-02  9.5907524E-02  9.1768773E-02
