 # k       S(k)       S(k)_form^2       S(k)_Lorch          S(k)_Lorch_form^2
    0.200000 -3.2759943E+00 -3.1883231E+00 -1.6982289E-01 -1.6527814E-01
    0.400000 -3.0590098E+00 -2.9771285E+00 -1.3828370E-01 -1.3458222E-01
    0.600000 -2.7145571E+00 -2.6418705E+00 -8.8361857E-02 -8.5995829E-02
    0.800000 -2.2668865E+00 -2.2061575E+00 -2.3814095E-02 -2.3176125E-02
    1.000000 -1.7470358E+00 -1.7002042E+00  5.0499577E-02  4.9145868E-02
    1.200000 -1.1902521E+00 -1.1583214E+00  1.2897577E-01  1.2551576E-01
    1.400000 -6.3311550E-01 -6.1611570E-01  2.0567797E-01  2.0015530E-01
    1.600000 -1.1063248E-01 -1.0765879E-01  2.7476432E-01  2.6737893E-01
    1.800000  3.4644043E-01  3.3711747E-01  3.3089920E-01  3.2199447E-01
    2.000000  7.1380681E-01  6.9457244E-01  3.6961694E-01  3.5965717E-01
    2.200000  9.7519231E-01  9.4887634E-01  3.8761069E-01  3.7715085E-01
    2.400000  1.1231437E+00  1.0927869E+00  3.8292648E-01  3.7257657E-01
    2.600000  1.1590278E+00  1.1276468E+00  3.5505062E-01  3.4543753E-01
    2.800000  1.0922710E+00  1.0626421E+00  3.0488801E-01  2.9661765E-01
    3.000000  9.3895272E-01  9.1343166E-01  2.3463786E-01  2.2826032E-01
    3.200000  7.1992019E-01  7.0031055E-01  1.4758129E-01  1.4356138E-01
    3.400000  4.5863144E-01  4.4611045E-01  4.7802240E-02  4.6497203E-02
    3.600000  1.7894661E-01  1.7404942E-01 -6.0132973E-02 -5.8487329E-02
    3.800000 -9.6921247E-02 -9.4262054E-02 -1.7150967E-01 -1.6680402E-01
    4.000000 -3.5011420E-01 -3.4048241E-01 -2.8178534E-01 -2.7403331E-01
    4.200000 -5.6636163E-01 -5.5073678E-01 -3.8687229E-01 -3.7619921E-01
    4.400000 -7.3665935E-01 -7.1627617E-01 -4.8336294E-01 -4.6998841E-01
    4.600000 -8.5738036E-01 -8.3358347E-01 -5.6868432E-01 -5.5290029E-01
    4.800000 -9.2986073E-01 -9.0396884E-01 -6.4117535E-01 -6.2332189E-01
    5.000000 -9.5955437E-01 -9.3274589E-01 -7.0008757E-01 -6.8052820E-01
    5.200000 -9.5488656E-01 -9.2811532E-01 -7.4551639E-01 -7.2461507E-01
    5.400001 -9.2595549E-01 -8.9990128E-01 -7.7827565E-01 -7.5637681E-01
    5.600001 -8.8323428E-01 -8.5828881E-01 -7.9973079E-01 -7.7714374E-01
    5.800001 -8.3640724E-01 -8.1269253E-01 -8.1161141E-01 -7.8859974E-01
    6.000001 -7.9345176E-01 -7.7086464E-01 -8.1581853E-01 -7.9259469E-01
    6.200001 -7.6003386E-01 -7.3830838E-01 -8.1424610E-01 -7.9097098E-01
    6.400000 -7.3924644E-01 -7.1802490E-01 -8.0862976E-01 -7.8541644E-01
    6.600000 -7.3167643E-01 -7.1057982E-01 -8.0043266E-01 -7.7735358E-01
    6.800000 -7.3575321E-01 -7.1444308E-01 -7.9077429E-01 -7.6787055E-01
    6.999999 -7.4830056E-01 -7.2652624E-01 -7.8040235E-01 -7.5769392E-01
    7.199999 -7.6520337E-01 -7.4283095E-01 -7.6970394E-01 -7.4719993E-01
    7.399999 -7.8209358E-01 -7.5911539E-01 -7.5874986E-01 -7.3645752E-01
    7.599998 -7.9497099E-01 -7.7149729E-01 -7.4736111E-01 -7.2529322E-01
    7.799998 -8.0069084E-01 -7.7692681E-01 -7.3518760E-01 -7.1336767E-01
    7.999998 -7.9727354E-01 -7.7348657E-01 -7.2178869E-01 -7.0025385E-01
    8.199997 -7.8402087E-01 -7.6050363E-01 -7.0670521E-01 -6.8550711E-01
    8.399997 -7.6144611E-01 -7.3848066E-01 -6.8951588E-01 -6.6871987E-01
