 # k       S(k)       S(k)_form^2       S(k)_Lorch          S(k)_Lorch_form^2
   14.199993  1.2037112E+00  1.1593463E+00  7.9686250E-01  7.6749274E-01
   14.399993  1.2308516E+00  1.1851215E+00  8.0356253E-01  7.7370762E-01
   14.599994  1.2443913E+00  1.1977841E+00  8.0454334E-01  7.7441013E-01
   14.799994  1.2442933E+00  1.1973106E+00  7.9988772E-01  7.6968514E-01
   14.999995  1.2307749E+00  1.1839226E+00  7.8973768E-01  7.5967448E-01
   15.199995  1.2042999E+00  1.1580787E+00  7.7429202E-01  7.4457456E-01
   15.399995  1.1655628E+00  1.1204591E+00  7.5380254E-01  7.2463265E-01
   15.599996  1.1154692E+00  1.0719461E+00  7.2856989E-01  7.0014272E-01
   15.799996  1.0551109E+00  1.0136003E+00  6.9893903E-01  6.7144108E-01
   15.999997  9.8573560E-01  9.4663057E-01  6.6529281E-01  6.3890003E-01
   16.199997  9.0871640E-01  8.7236484E-01  6.2804702E-01  6.0292313E-01
   16.399997  8.2551514E-01  7.9221452E-01  5.8764286E-01  5.6393782E-01
   16.599998  7.3764748E-01  7.0764082E-01  5.4454069E-01  5.2238939E-01
   16.799998  6.4664837E-01  6.2012147E-01  4.9921388E-01  4.7873507E-01
   16.999999  5.5403372E-01  5.3111393E-01  4.5214051E-01  4.3343594E-01
   17.199999  4.6127060E-01  4.4202675E-01  4.0379839E-01  3.8695224E-01
   17.399999  3.6974306E-01  3.5418690E-01  3.5465702E-01  3.3973558E-01
   17.600000  2.8072605E-01  2.6881488E-01  3.0517213E-01  2.9222371E-01
   17.800000  1.9536312E-01  1.8700350E-01  2.5578077E-01  2.4483588E-01
   18.000001  1.1464423E-01  1.0969692E-01  2.0689449E-01  1.9796626E-01
   18.200001  3.9394873E-02  3.7680405E-02  1.5889673E-01  1.5198153E-01
   18.400002 -2.9736420E-02 -2.8431300E-02  1.1213709E-01  1.0721544E-01
   18.600002 -9.2279311E-02 -8.8194836E-02  6.6930120E-02  6.3967653E-02
   18.800002 -1.4794339E-01 -1.4133959E-01  2.3551273E-02  2.2500006E-02
   19.000003 -1.9661156E-01 -1.8776100E-01 -1.7763912E-02 -1.6964261E-02
   19.200003 -2.3832964E-01 -2.2751038E-01 -5.6820096E-02 -5.4240680E-02
   19.400004 -2.7329440E-01 -2.6078312E-01 -9.3463663E-02 -8.9184943E-02
   19.600004 -3.0183498E-01 -2.8790068E-01 -1.2758056E-01 -1.2169076E-01
   19.800004 -3.2439475E-01 -3.0929305E-01 -1.5909635E-01 -1.5168986E-01
   20.000005 -3.4150922E-01 -3.2547744E-01 -1.8797376E-01 -1.7914954E-01
   20.200005 -3.5378339E-01 -3.3703650E-01 -2.1420996E-01 -2.0407000E-01
   20.400006 -3.6186931E-01 -3.4459682E-01 -2.3783466E-01 -2.2648251E-01
   20.600006 -3.6644284E-01 -3.4880668E-01 -2.5890591E-01 -2.4644529E-01
   20.800006 -3.6818221E-01 -3.5031558E-01 -2.7750748E-01 -2.6404099E-01
   21.000007 -3.6774756E-01 -3.4975480E-01 -2.9374480E-01 -2.7937276E-01
   21.200007 -3.6576294E-01 -3.4772023E-01 -3.0774097E-01 -2.9256042E-01
   21.400008 -3.6280051E-01 -3.4475752E-01 -3.1963356E-01 -3.0373736E-01
   21.600008 -3.5936786E-01 -3.4135003E-01 -3.2957027E-01 -3.1304642E-01
   21.800008 -3.5589815E-01 -3.3790967E-01 -3.3770584E-01 -3.2063687E-01
   22.000009 -3.5274358E-01 -3.3477077E-01 -3.4419837E-01 -3.2666095E-01
   22.200009 -3.5017206E-01 -3.3218717E-01 -3.4920616E-01 -3.3127088E-01
   22.400010 -3.4836686E-01 -3.3033198E-01 -3.5288506E-01 -3.3461627E-01
   22.600010 -3.4742929E-01 -3.2930032E-01 -3.5538579E-01 -3.3684165E-01
   22.800010 -3.4738390E-01 -3.2911443E-01 -3.5685194E-01 -3.3808453E-01
   23.000011 -3.4818604E-01 -3.2973097E-01 -3.5741812E-01 -3.3847371E-01
   23.200011 -3.4973122E-01 -3.3105002E-01 -3.5720863E-01 -3.3812802E-01
   23.400012 -3.5186596E-01 -3.3292548E-01 -3.5633649E-01 -3.3715537E-01
   23.600012 -3.5439947E-01 -3.3517623E-01 -3.5490282E-01 -3.3565228E-01
   23.800012 -3.5711600E-01 -3.3759784E-01 -3.5299655E-01 -3.3370354E-01
   24.000013 -3.5978699E-01 -3.3997417E-01 -3.5069447E-01 -3.3138236E-01
   24.200013 -3.6218288E-01 -3.4208850E-01 -3.4806161E-01 -3.2875069E-01
   24.400014 -3.6408418E-01 -3.4373397E-01 -3.4515175E-01 -3.2585976E-01
   24.600014 -3.6529110E-01 -3.4472273E-01 -3.4200830E-01 -3.2275091E-01
   24.800014 -3.6563198E-01 -3.4489375E-01 -3.3866512E-01 -3.1945641E-01
   25.000015 -3.6496987E-01 -3.4411901E-01 -3.3514766E-01 -3.1600055E-01
   25.200015 -3.6320727E-01 -3.4230792E-01 -3.3147413E-01 -3.1240074E-01
   25.400016 -3.6028900E-01 -3.3940988E-01 -3.2765655E-01 -3.0866852E-01
   25.600016 -3.5620318E-01 -3.3541518E-01 -3.2370204E-01 -3.0481081E-01
   25.800017 -3.5098023E-01 -3.3035390E-01 -3.1961381E-01 -3.0083082E-01
   26.000017 -3.4469038E-01 -3.2429354E-01 -3.1539236E-01 -2.9672921E-01
   26.200017 -3.3743942E-01 -3.1733490E-01 -3.1103629E-01 -2.9250486E-01
   26.400018 -3.2936328E-01 -3.0960696E-01 -3.0654322E-01 -2.8815572E-01
   26.600018 -3.2062183E-01 -3.0126090E-01 -3.0191058E-01 -2.8367954E-01
   26.800019 -3.1139138E-01 -2.9246315E-01 -2.9713601E-01 -2.7907430E-01
   27.000019 -3.0185759E-01 -2.8338856E-01 -2.9221804E-01 -2.7433881E-01
   27.200019 -2.9220748E-01 -2.7421301E-01 -2.8715619E-01 -2.6947278E-01
   27.400020 -2.8262225E-01 -2.6510655E-01 -2.8195128E-01 -2.6447716E-01
   27.600020 -2.7327049E-01 -2.5622718E-01 -2.7660550E-01 -2.5935419E-01
   27.800021 -2.6430173E-01 -2.4771473E-01 -2.7112229E-01 -2.5410724E-01
   28.000021 -2.5584164E-01 -2.3968645E-01 -2.6550635E-01 -2.4874088E-01
   28.200021 -2.4798762E-01 -2.3223294E-01 -2.5976330E-01 -2.4326051E-01
   28.400022 -2.4080614E-01 -2.2541568E-01 -2.5389951E-01 -2.3767223E-01
   28.600022 -2.3433128E-01 -2.1926576E-01 -2.4792192E-01 -2.3198264E-01
   28.800023 -2.2856429E-01 -2.1378352E-01 -2.4183752E-01 -2.2619840E-01
