 # k       S(k)       S(k)_form^2       S(k)_Lorch          S(k)_Lorch_form^2
       0.200 -3.8784712E+00 -3.7746767E+00 -5.0627412E-01 -4.9272536E-01
       0.400 -3.6000727E+00 -3.5037085E+00 -4.5163471E-01 -4.3954568E-01
       0.600 -3.1608643E+00 -3.0762272E+00 -3.6519042E-01 -3.5541187E-01
       0.800 -2.5954727E+00 -2.5259410E+00 -2.5346989E-01 -2.4667953E-01
       1.000 -1.9475572E+00 -1.8953503E+00 -1.2484422E-01 -1.2149760E-01
       1.200 -1.2656461E+00 -1.2316928E+00  1.1162044E-02  1.0862601E-02
       1.400 -5.9862519E-01 -5.8255149E-01  1.4503333E-01  1.4113904E-01
       1.600  8.6336605E-03  8.4015963E-03  2.6572766E-01  2.5858517E-01
       1.800  5.1905141E-01  5.0508337E-01  3.6644706E-01  3.5658571E-01
       2.000  9.0615451E-01  8.8173711E-01  4.3978491E-01  4.2793439E-01
       2.200  1.1556749E+00  1.1244886E+00  4.8113787E-01  4.6815416E-01
       2.400  1.2658382E+00  1.2316245E+00  4.8826931E-01  4.7507215E-01
       2.600  1.2463936E+00  1.2126472E+00  4.6135783E-01  4.4886644E-01
       2.800  1.1165806E+00  1.0862923E+00  4.0283442E-01  3.9190718E-01
       3.000  9.0233043E-01  8.7780478E-01  3.1704526E-01  3.0842786E-01
       3.200  6.3307187E-01  6.1582787E-01  2.0978195E-01  2.0406778E-01
       3.400  3.3852162E-01  3.2927973E-01  8.7730416E-02  8.5335309E-02
       3.600  4.5813255E-02  4.4559495E-02 -4.2106722E-02 -4.0954398E-02
       3.800 -2.2275445E-01 -2.1664282E-01 -1.7296053E-01 -1.6821507E-01
       4.000 -4.5116757E-01 -4.3875576E-01 -2.9877233E-01 -2.9055298E-01
       4.200 -6.3027633E-01 -6.1288819E-01 -4.1456062E-01 -4.0312367E-01
       4.400 -7.5754550E-01 -7.3658440E-01 -5.1665601E-01 -5.0236027E-01
       4.600 -8.3611268E-01 -8.1290609E-01 -6.0279712E-01 -5.8606628E-01
       4.800 -8.7335907E-01 -8.4904047E-01 -6.7209401E-01 -6.5337962E-01
       5.000 -8.7923226E-01 -8.5466787E-01 -7.2487843E-01 -7.0462644E-01
       5.200 -8.6456044E-01 -8.4032159E-01 -7.6246912E-01 -7.4109250E-01
       5.400 -8.3956658E-01 -8.1594315E-01 -7.8688544E-01 -7.6474433E-01
       5.600 -8.1273764E-01 -7.8978323E-01 -8.0054365E-01 -7.7793364E-01
       5.800 -7.9013259E-01 -7.6772991E-01 -8.0596907E-01 -7.8311738E-01
       6.000 -7.7514730E-01 -7.5308125E-01 -8.0554815E-01 -7.8261669E-01
       6.200 -7.6868593E-01 -7.4671314E-01 -8.0134068E-01 -7.7843446E-01
       6.400 -7.6964310E-01 -7.4754898E-01 -7.9496053E-01 -7.7213961E-01
       6.600 -7.7557232E-01 -7.5321005E-01 -7.8752564E-01 -7.6481872E-01
