 # k       S(k)       S(k)_form^2       S(k)_Lorch          S(k)_Lorch_form^2
      14.400  1.2311607E+00  1.1805176E+00  1.0811422E+00  1.0366700E+00
      14.600  1.2551331E+00  1.2031013E+00  1.0973858E+00  1.0518934E+00
      14.800  1.2597492E+00  1.2071166E+00  1.1001086E+00  1.0541458E+00
      15.000  1.2453562E+00  1.1929150E+00  1.0895069E+00  1.0436284E+00
      15.200  1.2129933E+00  1.1615108E+00  1.0661453E+00  1.0208954E+00
      15.400  1.1643086E+00  1.1144997E+00  1.0309235E+00  9.8682076E-01
      15.600  1.1014437E+00  1.0539483E+00  9.8502684E-01  9.4255149E-01
      15.800  1.0268982E+00  9.8226296E-01  9.2986744E-01  8.8944973E-01
      16.000  9.4337807E-01  9.0204391E-01  8.6701391E-01  8.2902566E-01
      16.200  8.5364845E-01  8.1594470E-01  7.9812265E-01  7.6287135E-01
      16.400  7.6039028E-01  7.2653450E-01  7.2486606E-01  6.9259197E-01
      16.600  6.6607845E-01  6.3618198E-01  6.4886922E-01  6.1974518E-01
      16.800  5.7288524E-01  5.4696335E-01  5.7165564E-01  5.4578939E-01
      17.000  4.8260840E-01  4.6059416E-01  4.9460018E-01  4.7203893E-01
      17.200  3.9663763E-01  3.7839797E-01  4.1890020E-01  3.9963678E-01
      17.400  3.1594517E-01  3.0129807E-01  3.4555378E-01  3.2953404E-01
      17.600  2.4110942E-01  2.2984073E-01  2.7535421E-01  2.6248503E-01
      17.800  1.7236150E-01  1.6424031E-01  2.0889509E-01  1.9905254E-01
      18.000  1.0964550E-01  1.0443727E-01  1.4658128E-01  1.3961857E-01
      18.200  5.2694001E-02  5.0170637E-02  8.8651502E-02  8.4406236E-02
      18.400  1.1009521E-03  1.0478019E-03  3.5200406E-02  3.3501053E-02
      18.600 -4.5604989E-02 -4.3385452E-02 -1.3792608E-02 -1.3121339E-02
      18.800 -8.7901536E-02 -8.3588764E-02 -5.8438679E-02 -5.5571463E-02
      19.000 -1.2622560E-01 -1.1998233E-01 -9.8913631E-02 -9.4021239E-02
      19.200 -1.6094340E-01 -1.5291854E-01 -1.3543536E-01 -1.2868237E-01
      19.400 -1.9233952E-01 -1.8267178E-01 -1.6824676E-01 -1.5979002E-01
      19.600 -2.2061885E-01 -2.0944036E-01 -1.9759973E-01 -1.8758759E-01
      19.800 -2.4592341E-01 -2.3336264E-01 -2.2374577E-01 -2.1231775E-01
      20.000 -2.6835537E-01 -2.5453904E-01 -2.4692829E-01 -2.3421514E-01
      20.200 -2.8800349E-01 -2.7305714E-01 -2.6737820E-01 -2.5350222E-01
      20.400 -3.0496884E-01 -2.8901604E-01 -2.8531278E-01 -2.7038818E-01
      20.600 -3.1938328E-01 -3.0254393E-01 -3.0093462E-01 -2.8506797E-01
      20.800 -3.3142096E-01 -3.1380884E-01 -3.1443292E-01 -2.9772356E-01
      21.000 -3.4129919E-01 -3.2301938E-01 -3.2598432E-01 -3.0852477E-01
      21.200 -3.4927019E-01 -3.3041687E-01 -3.3575405E-01 -3.1763032E-01
      21.400 -3.5560587E-01 -3.3626083E-01 -3.4389729E-01 -3.2518920E-01
      21.600 -3.6057738E-01 -3.4080964E-01 -3.5055960E-01 -3.3134105E-01
      21.800 -3.6443431E-01 -3.4430083E-01 -3.5587772E-01 -3.3621695E-01
      22.000 -3.6738605E-01 -3.4693359E-01 -3.5997965E-01 -3.3993951E-01
      22.200 -3.6958892E-01 -3.4885666E-01 -3.6298481E-01 -3.4262302E-01
      22.400 -3.7114098E-01 -3.5016356E-01 -3.6500424E-01 -3.4437368E-01
      22.600 -3.7208512E-01 -3.5089561E-01 -3.6614066E-01 -3.4528967E-01
      22.800 -3.7241993E-01 -3.5105229E-01 -3.6648887E-01 -3.4546152E-01
      23.000 -3.7211641E-01 -3.5060711E-01 -3.6613608E-01 -3.4497245E-01
      23.200 -3.7113776E-01 -3.4952628E-01 -3.6516248E-01 -3.4389894E-01
      23.400 -3.6945900E-01 -3.4778719E-01 -3.6364180E-01 -3.4231122E-01
      23.600 -3.6708326E-01 -3.4539375E-01 -3.6164193E-01 -3.4027392E-01
      23.800 -3.6405220E-01 -3.4238607E-01 -3.5922535E-01 -3.3784648E-01
      24.000 -3.6044893E-01 -3.3884315E-01 -3.5644960E-01 -3.3508355E-01
      24.200 -3.5639327E-01 -3.3487838E-01 -3.5336753E-01 -3.3203530E-01
      24.400 -3.5202996E-01 -3.3062830E-01 -3.5002732E-01 -3.2874741E-01
      24.600 -3.4751235E-01 -3.2623731E-01 -3.4647260E-01 -3.2526123E-01
      24.800 -3.4298375E-01 -3.2184013E-01 -3.4274224E-01 -3.2161350E-01
      25.000 -3.3856018E-01 -3.1754560E-01 -3.3887022E-01 -3.1783640E-01
      25.200 -3.3431691E-01 -3.1342421E-01 -3.3488570E-01 -3.1395745E-01
      25.400 -3.3028111E-01 -3.0950120E-01 -3.3081280E-01 -3.0999943E-01
