 # k       S(k)       S(k)_form^2       S(k)_Lorch          S(k)_Lorch_form^2
      14.600  1.3900830E+00  1.3380191E+00  1.2048811E+00  1.1597538E+00
      14.800  1.3792383E+00  1.3271603E+00  1.1978625E+00  1.1526330E+00
      15.000  1.3446376E+00  1.2934508E+00  1.1755301E+00  1.1307808E+00
      15.200  1.2888013E+00  1.2393369E+00  1.1389166E+00  1.0952048E+00
      15.400  1.2151690E+00  1.1681456E+00  1.0894624E+00  1.0473035E+00
      15.600  1.1277578E+00  1.0837552E+00  1.0289295E+00  9.8878301E-01
      15.800  1.0307952E+00  9.9024125E-01  9.5930282E-01  9.2156152E-01
      16.000  9.2836646E-01  8.9153732E-01  8.8268063E-01  8.4766389E-01
      16.200  8.2412484E-01  7.9115721E-01  8.0117288E-01  7.6912341E-01
      16.400  7.2108042E-01  6.9199262E-01  7.1680272E-01  6.8788748E-01
      16.600  6.2149277E-01  5.9621115E-01  6.3142759E-01  6.0574184E-01
      16.800  5.2686210E-01  5.0524909E-01  5.4668013E-01  5.2425414E-01
      17.000  4.3800051E-01  4.1988089E-01  4.6392677E-01  4.4473461E-01
      17.200  3.5517182E-01  3.4035433E-01  3.8425461E-01  3.6822381E-01
      17.400  2.7825697E-01  2.6654989E-01  3.0847196E-01  2.9549365E-01
      17.600  2.0692731E-01  1.9814741E-01  2.3712968E-01  2.2706830E-01
      17.800  1.4079531E-01  1.3477066E-01  1.7055423E-01  1.6325620E-01
      18.000  7.9521653E-02  7.6090011E-02  1.0888435E-01  1.0418560E-01
      18.200  2.2878619E-02  2.1882940E-02  5.2115309E-02  4.9847247E-02
      18.400 -2.9240098E-02 -2.7956761E-02  1.3633900E-04  1.3035514E-04
      18.600 -7.6844513E-02 -7.3443215E-02 -4.7231976E-02 -4.5141391E-02
      18.800 -1.1990324E-01 -1.1455107E-01 -9.0211146E-02 -8.6184355E-02
      19.000 -1.5840474E-01 -1.5127408E-01 -1.2904289E-01 -1.2323397E-01
      19.200 -1.9241238E-01 -1.8367759E-01 -1.6397480E-01 -1.5653097E-01
      19.400 -2.2210266E-01 -2.1193491E-01 -1.9525383E-01 -1.8631521E-01
      19.600 -2.4777522E-01 -2.3633661E-01 -2.2312160E-01 -2.1282112E-01
      19.800 -2.6983896E-01 -2.5727703E-01 -2.4781497E-01 -2.3627833E-01
      20.000 -2.8877463E-01 -2.7521842E-01 -2.6956624E-01 -2.5691174E-01
      20.200 -3.0508450E-01 -2.9064285E-01 -2.8860342E-01 -2.7494193E-01
      20.400 -3.1924004E-01 -3.0400230E-01 -3.0515082E-01 -2.9058558E-01
      20.600 -3.3163583E-01 -3.1567486E-01 -3.1942688E-01 -3.0405350E-01
