C8mimBF4		C2OHBF4		C6mimBF4		C4mimBF4		C2mimBF4		C3mimBF4	
X	Y	X	Y	X	Y	X	Y	X	Y	X	Y
10.43771166	0.019917596										
10.65042937	0.021082469										
10.86314707	0.022291283										
11.0616836	0.023359301										
11.24603895	0.024624966										
11.43039429	0.025844509										
11.60056846	0.027108994										
11.75656144	0.02837878										
11.89837325	0.029446188										
12.02127681	0.030527646										
12.13945331	0.031788009										
12.23872158	0.032952474										
12.38053338	0.034302606										
12.52234519	0.035610853										
13.06123004	0.041734027										
13.18886067	0.0430659										
13.31649129	0.044183113										
13.4583031	0.045470417										
13.6001149	0.046621595										
13.78447025	0.047892995										
14.05391268	0.049145913										
14.35171746	0.049722829										
14.7629717	0.048653434										
14.9756894	0.047451162										
15.14586357	0.046211274										
15.30185656	0.045011592										
15.42948718	0.043796335										
15.5571178	0.042549665										
15.69892961	0.041323871										
15.82656023	0.040147881										
15.94000968	0.038982428										
16.05345912	0.037777709										
16.18108974	0.036557216										
16.30872037	0.035394315										
16.43635099	0.034220943										
16.5781628	0.032911379										
16.7199746	0.031832183										
16.86178641	0.030606389										
17.00359821	0.029432951										
17.15959119	0.028278645										
17.32976536	0.027038757										
17.51412071	0.025755174										
17.71265723	0.024594936										
17.92537494	0.023403779										
18.15227383	0.022218166										
18.39335389	0.021120474										
18.66279632	0.020048247										
18.96060111	0.018956427										
19.27258708	0.017941172										
19.58457305	0.017121062										
19.88237784	0.016450947										
