 # k       S(k)       S(k)_form^2       S(k)_Lorch          S(k)_Lorch_form^2
      14.400  8.5148326E-06  4.7107169E-03  7.8367033E-06  4.3355509E-03
      14.600  8.3939133E-06  4.6438199E-03  7.8178264E-06  4.3251075E-03
      14.800  8.2410190E-06  4.5592332E-03  7.7099375E-06  4.2654194E-03
      15.000  8.0642899E-06  4.4614601E-03  7.5179093E-06  4.1591825E-03
      15.200  7.8603539E-06  4.3486353E-03  7.2487496E-06  4.0102735E-03
      15.400  7.6166703E-06  4.2138206E-03  6.9112235E-06  3.8235417E-03
      15.600  7.3155529E-06  4.0472315E-03  6.5154167E-06  3.6045669E-03
      15.800  6.9390765E-06  3.8389509E-03  6.0722683E-06  3.3594009E-03
      16.000  6.4739402E-06  3.5816205E-03  5.5930770E-06  3.0942948E-03
      16.200  5.9154699E-06  3.2726543E-03  5.0890622E-06  2.8154554E-03
      16.400  5.2700240E-06  2.9155701E-03  4.5709407E-06  2.5288116E-03
      16.600  4.5554619E-06  2.5202481E-03  4.0485930E-06  2.2398297E-03
      16.800  3.7996081E-06  2.1020822E-03  3.5308128E-06  1.9533748E-03
      17.000  3.0369515E-06  1.6801527E-03  3.0251151E-06  1.6736043E-03
      17.200  2.3042314E-06  1.2747851E-03  2.5376693E-06  1.4039315E-03
      17.400  1.6355381E-06  9.0483949E-04  2.0732723E-06  1.1470101E-03
      17.600  1.0578121E-06  5.8522033E-04  1.6354150E-06  9.0477141E-04
      17.800  5.8741127E-07  3.2497740E-04  1.2264003E-06  6.7848950E-04
      18.000  2.2824740E-07  1.2627481E-04  8.4747712E-07  4.6885535E-04
      18.200 -2.8186463E-08 -1.5593782E-05  4.9902760E-07  2.7608032E-04
      18.400 -2.0101084E-07 -1.1120655E-04  1.8072908E-07  9.9985940E-05
      18.600 -3.1664463E-07 -1.7517939E-04 -1.0826013E-07 -5.9893462E-05
      18.800 -4.0457071E-07 -2.2382332E-04 -3.6915602E-07 -2.0423062E-04
      19.000 -4.9283172E-07 -2.7265254E-04 -6.0340898E-07 -3.3382792E-04
      19.200 -6.0396406E-07 -3.3413501E-04 -8.1259164E-07 -4.4955542E-04
      19.400 -7.5197538E-07 -4.1602029E-04 -9.9832351E-07 -5.5230909E-04
      19.600 -9.4077441E-07 -5.2047081E-04 -1.1622037E-06 -6.4297357E-04
      19.800 -1.1642495E-06 -6.4410539E-04 -1.3057799E-06 -7.2240518E-04
      20.000 -1.4078973E-06 -7.7890028E-04 -1.4305250E-06 -7.9141878E-04
      20.200 -1.6516844E-06 -9.1377221E-04 -1.5378284E-06 -8.5078291E-04
      20.400 -1.8736565E-06 -1.0365753E-03 -1.6290008E-06 -9.0122281E-04
      20.600 -2.0536711E-06 -1.1361660E-03 -1.7052769E-06 -9.4342156E-04
      20.800 -2.1766950E-06 -1.2042273E-03 -1.7678275E-06 -9.7802683E-04
      21.000 -2.2351415E-06 -1.2365620E-03 -1.8177665E-06 -1.0056549E-03
      21.200 -2.2299355E-06 -1.2336819E-03 -1.8561587E-06 -1.0268949E-03
      21.400 -2.1701884E-06 -1.2006276E-03 -1.8840279E-06 -1.0423132E-03
      21.600 -2.0715893E-06 -1.1460790E-03 -1.9023596E-06 -1.0524549E-03
      21.800 -1.9538182E-06 -1.0809237E-03 -1.9121050E-06 -1.0578464E-03
      22.000 -1.8374317E-06 -1.0165344E-03 -1.9141822E-06 -1.0589956E-03
      22.200 -1.7407318E-06 -9.6303648E-04 -1.9094760E-06 -1.0563920E-03
      22.400 -1.6771061E-06 -9.2783644E-04 -1.8988372E-06 -1.0505062E-03
      22.600 -1.6532513E-06 -9.1463910E-04 -1.8830807E-06 -1.0417891E-03
      22.800 -1.6685114E-06 -9.2308151E-04 -1.8629826E-06 -1.0306701E-03
      23.000 -1.7154006E-06 -9.4902236E-04 -1.8392760E-06 -1.0175548E-03
      23.200 -1.7811741E-06 -9.8541064E-04 -1.8126473E-06 -1.0028228E-03
      23.400 -1.8501615E-06 -1.0235770E-03 -1.7837299E-06 -9.8682461E-04
      23.600 -1.9064592E-06 -1.0547230E-03 -1.7530997E-06 -9.6987891E-04
      23.800 -1.9365485E-06 -1.0713695E-03 -1.7212694E-06 -9.5226922E-04
      24.000 -1.9314204E-06 -1.0685324E-03 -1.6886838E-06 -9.3424163E-04
      24.200 -1.8878977E-06 -1.0444541E-03 -1.6557172E-06 -9.1600330E-04
      24.400 -1.8089709E-06 -1.0007889E-03 -1.6226712E-06 -8.9772108E-04
      24.600 -1.7031373E-06 -9.4223784E-04 -1.5897768E-06 -8.7952269E-04
      24.800 -1.5828800E-06 -8.7570714E-04 -1.5571963E-06 -8.6149793E-04
      25.000 -1.4625676E-06 -8.0914589E-04 -1.5250295E-06 -8.4370212E-04
      25.200 -1.3561257E-06 -7.5025833E-04 -1.4933228E-06 -8.2616079E-04
      25.400 -1.2748534E-06 -7.0529553E-04 -1.4620767E-06 -8.0887432E-04
      25.600 -1.2257367E-06 -6.7812239E-04 -1.4312586E-06 -7.9182461E-04
      25.800 -1.2104949E-06 -6.6969004E-04 -1.4008120E-06 -7.7498044E-04
      26.000 -1.2254954E-06 -6.7798889E-04 -1.3706684E-06 -7.5830391E-04
      26.200 -1.2625134E-06 -6.9846858E-04 -1.3407555E-06 -7.4175498E-04
      26.400 -1.3101886E-06 -7.2484426E-04 -1.3110047E-06 -7.2529578E-04
      26.600 -1.3559232E-06 -7.5014629E-04 -1.2813573E-06 -7.0889376E-04
      26.800 -1.3879083E-06 -7.6784164E-04 -1.2517658E-06 -6.9252261E-04
      27.000 -1.3969512E-06 -7.7284453E-04 -1.2221955E-06 -6.7616325E-04
      27.200 -1.3778263E-06 -7.6226390E-04 -1.1926226E-06 -6.5980245E-04
      27.400 -1.3299498E-06 -7.3577690E-04 -1.1630313E-06 -6.4343143E-04
      27.600 -1.2573016E-06 -6.9558522E-04 -1.1334102E-06 -6.2704400E-04
      27.800 -1.1676258E-06 -6.4597330E-04 -1.1037478E-06 -6.1063367E-04
